0.005,91.2
0.01,78.8
0.015,78.5
0.02,81.8
0.025,85.1
0.03,88.9
0.035,84.5
0.04,84.7
0.045,84.0
0.05,83.8
0.055,79.6
0.06,81.4
0.065,80.5
0.07,79.9
0.075,79.9
0.08,79.9
0.085,79.4
0.09,79.8
0.095,80.6
0.1,78.9
0.105,79.4
0.11,79.8
0.115,79.4
0.12,79.3
0.125,80.0
0.13,85.4
0.135,81.1
0.14,79.5
0.145,79.5
0.15,79.0
0.155,79.8
0.16,81.0
0.165,79.2
0.17,79.7
0.175,79.3
0.18,79.4
0.185,80.6
0.19,80.7
0.195,79.7
0.2,79.4
0.205,79.4
0.21,79.2
0.215,80.1
0.22,81.4
0.225,79.2
0.23,79.7
0.235,79.9
0.24,80.0
0.245,79.7
0.25,79.9
