0.005,155.2
0.01,137.5
0.015,138.5
0.02,138.7
0.025,134.5
0.03,136.0
0.035,134.0
0.04,131.3
0.045,138.0
0.05,136.7
0.055,135.1
0.06,140.7
0.065,134.7
0.07,131.4
0.075,133.3
0.08,134.1
0.085,137.0
0.09,134.1
0.095,141.7
0.1,136.6
0.105,136.2
0.11,143.8
0.115,133.9
0.12,137.6
0.125,134.7
0.13,140.9
0.135,129.3
0.14,134.7
0.145,138.9
0.15,128.9
0.155,137.1
0.16,140.6
0.165,138.1
0.17,139.8
0.175,136.9
0.18,137.4
0.185,139.4
0.19,138.6
0.195,135.9
0.2,132.0
0.205,137.5
0.21,136.2
0.215,137.3
0.22,139.1
0.225,138.1
0.23,135.5
0.235,137.3
0.24,136.6
0.245,242.4
0.25,269.1
